Date of death,Days til death,Coral ID,Coral species,Treatment,Snail,Colony ID,Tank,Weight,Cap weight,Starting weight,Net change,Survived
,,V-10 A C,Pocillopora,Ambient,Control,Poc-10,Tank 2,24.5,13.5,24.5,0,1
30-May,7,V-11 A C,Pocillopora,Ambient,Control,Poc-11,Tank 10,24.8,18,25.7,-11.68831169,0
28-May,5,V-12 A C,Pocillopora,Ambient,Control,Poc-12,Tank 10,22.3,11.7,23.2,-7.826086957,0
,,V-13 A C,Pocillopora,Ambient,Control,Poc-13,Tank 10,33.7,12.6,34.1,-1.860465116,1
28-May,5,V-14 A C,Pocillopora,Ambient,Control,Poc-14,Tank 10,19.2,13.4,19.9,-10.76923077,0
30-May,7,V-15 A C,Pocillopora,Ambient,Control,Poc-15,Tank 10,22.1,14.2,23.2,-12.22222222,0
,,R-1 H C,Porites,Heated,Control,Rus-1,Tank 6,21.3,15.7,20.7,12,1
,,R-2 H C,Porites,Heated,Control,Rus-2,Tank 6,21.1,14.7,20.8,4.918032787,1
,,R-3 H C,Porites,Heated,Control,Rus-3,Tank 6,23.2,11.2,22.8,3.448275862,1
,,R-4 H C,Porites,Heated,Control,Rus-4,Tank 6,28.8,16,28.4,3.225806452,1
,,R-5 H C,Porites,Heated,Control,Rus-5,Tank 6,28.4,11.6,27.1,8.387096774,1
,,R-6 H C,Porites,Heated,Control,Rus-6,Tank 7,19.3,11.9,18.9,5.714285714,1
,,R-7 H C,Porites,Heated,Control,Rus-7,Tank 7,27.6,17.7,27.1,5.319148936,1
,,R-8 H C,Porites,Heated,Control,Rus-8,Tank 7,22.3,11.5,22.4,-0.917431193,1
,,R-9 H C,Porites,Heated,Control,Rus-9,Tank 7,17.4,10.5,16.9,7.8125,1
,,R-10 H C,Porites,Heated,Control,Rus-10,Tank 7,22.8,15.3,22.4,5.633802817,1
,,R-11 H C,Porites,Heated,Control,Rus-11,Tank 11,19.8,13,19.2,9.677419355,1
,,R-12 H C,Porites,Heated,Control,Rus-12,Tank 11,23.9,14.9,23.4,5.882352941,1
,,R-13 H C,Porites,Heated,Control,Rus-13,Tank 11,20.7,12.7,20.3,5.263157895,1
,,R-14 H C,Porites,Heated,Control,Rus-14,Tank 11,18.4,12.8,18.6,-3.448275862,1
,,R-15 H C,Porites,Heated,Control,Rus-15,Tank 11,23.2,15.3,23,2.597402597,1
,,R-1 A C,Porites,Ambient,Control,Rus-1,Tank 8,20.3,12.7,19.8,7.042253521,1
,,R-2 A C,Porites,Ambient,Control,Rus-2,Tank 8,22.4,12.5,22.4,0,1
,,R-3 A C,Porites,Ambient,Control,Rus-3,Tank 8,20.2,13.9,19.7,8.620689655,1
,,R-4 A C,Porites,Ambient,Control,Rus-4,Tank 8,25,14.8,24.5,5.154639175,1
,,R-5 A C,Porites,Ambient,Control,Rus-5,Tank 8,23.6,13.1,23,6.060606061,1
,,R-6 A C,Porites,Ambient,Control,Rus-6,Tank 2,24.1,15.2,23.1,12.65822785,1
,,R-7 A C,Porites,Ambient,Control,Rus-7,Tank 2,22.6,14.4,21.8,10.81081081,1
,,R-8 A C,Porites,Ambient,Control,Rus-8,Tank 2,25.6,14.4,24.9,6.666666667,1
,,R-9 A C,Porites,Ambient,Control,Rus-9,Tank 2,21.4,10.7,20.3,11.45833333,1
,,R-10 A C,Porites,Ambient,Control,Rus-10,Tank 2,19.2,12.7,18.7,8.333333333,1
,,R-11 A C,Porites,Ambient,Control,Rus-11,Tank 10,20.1,14.7,20,1.886792453,1
,,R-12 A C,Porites,Ambient,Control,Rus-12,Tank 10,28.1,17.2,27.5,5.825242718,1
,,R-13 A C,Porites,Ambient,Control,Rus-13,Tank 10,20.1,13.3,19.6,7.936507937,1
,,R-14 A C,Porites,Ambient,Control,Rus-14,Tank 10,32.5,6.1,31.5,3.937007874,1
,,R-15 A C,Porites,Ambient,Control,Rus-15,Tank 10,27.9,9.8,26.9,5.847953216,1
